,Topic,Count,Name
0,-1,27679,-1_酒店_房间_入住_不错
1,0,1013,0_游泳_泳池_健身_健身房
2,1,852,1_感谢_帮助_礼宾_感谢信
3,2,736,2_会议_宴会厅_表扬信_配合
4,3,448,3_西餐厅_菜品_全味_西餐
5,4,413,4_水疗_理疗_手法_护理
6,5,412,5_中餐厅_菜品_用餐_味道
7,6,386,6_酒廊_行政_欢乐_时光
8,7,379,7_下午茶_鸡尾酒_拍照_甜点
9,8,336,8_孩子_小朋友_客房部_喜欢
10,9,335,9_婚宴_婚礼_宴会厅_富贵
11,10,272,10_酒廊_行政_客人_员工
12,11,241,11_卫生_方面_一般_隔音
13,12,238,12_酒吧_调酒师_下午茶_鸡尾酒
14,13,228,13_房间_干净_空间_隔音
15,14,220,14_朋友_游玩_旅游_介绍
16,15,211,15_失望_没有_糟糕_不能
17,16,196,16_性价比_价格_很高_价位
18,17,194,17_工作_耐心_民工_认真
19,18,194,18_孩子_小朋友_全味_自助餐
20,19,187,19_太小_很小_压抑_空间
21,20,159,20_打扫_清洁_客房部_垃圾
22,21,147,21_疫情_防疫_口罩_防护
23,22,141,22_客房_打扫_客房部_服务员
24,23,138,23_早餐_米线_厨师_好吃
25,24,129,24_歌手_唱歌_大堂_好听
26,25,128,25_人民币_看起来_大厦_旅行团
27,26,124,26_聚餐_朋友_聚会_菜品
28,27,124,27_推荐_值得_地理位置_优越
29,28,121,28_便宜_价格_性价比_实惠
30,29,112,29_地铁_地铁站_地铁口_二号线
31,30,105,30_很棒_很漂亮_很好_前台
32,31,103,31_乐于_摆件_信号_开床
33,32,100,32_硬件_软件_软硬件_设施
34,33,94,33_传奇_管家_奢华_设计
35,34,90,34_餐厅_全味_味道_菜品
36,35,88,35_皇冠_假日酒店_感谢_入住
37,36,86,36_火锅_辣锅_很足_肉质
38,37,86,37_感觉_总体_舒适_睡眠
39,38,84,38_方便_交通_打车_地理位置
40,39,75,39_家庭_出游_家人_一家人
41,40,74,40_卫生间_卫生_干净_地板
42,41,70,41_咨询_专业_推荐_影碟
43,42,70,42_橙子_早餐_丰盛_切好
44,43,70,43_牛肉_包间_餐厅_玩玩
45,44,66,44_火锅_感谢_餐厅_全味
46,45,66,45_旅游_博物馆_有名_出行
47,46,62,46_团建_公司_组织_工作人员
48,47,61,47_全味_厨师_派送_餐厅
49,48,55,48_地铁站_地铁_高铁_龙首
50,49,54,49_自助餐_称道_菜品_用餐
51,50,54,50_解答_回答_问题_了解
52,51,54,51_纪念日_蛋糕_生日蛋糕_庆祝
53,52,52,52_最好_旅舍_试一下_算是
54,53,52,53_出差_商务_绿地_假日酒店
55,54,52,54_游玩_度假_需有_旅游
56,55,51,55_中餐厅_包间_景色_聚会
57,56,50,56_晚宴_富贵_宴会厅_参加
58,57,50,57_响应_便利_交通_丰富
